model,type,speed,Capacity (GB),Form Factor,DRAM Configuration
A-DATA Technology AX5U5200C3816G-B 16GB,DDR5,14650,16,UDIMM,
Corsair CMK32GX5M2B5200C40 16GB,DDR5,14450,16,Dual Inline Memory Module (DIMM),XMP 2.0
G Skill Intl F5-5600J4040C16G 16GB,DDR5,14050,16,UDIM,Single Rank
Corsair CMT32GX5M2B5200C38 16GB,DDR5,14250,16,SO-DIMM,Dual Channel
G Skill Intl F5-5600U3636C16G 16GB,DDR5,13650,16,SO-DIMM,Dual Channel
Corsair CMT32GX5M2B5200C40 16GB,DDR5,13850,16,UDIM,Single Rank x4
Corsair CMK32GX5M2A4800C40 16GB,DDR5,13650,16,SO-DIMM,Dual Channel
Crucial Technology CT16G48C40U5.M8A1 16GB,DDR5,13950,16,SO-DIMM,"Unbuffered, Single Voltage"
GIGA - BYTE Technology Co Ltd GP-ARS32G52D5 16GB,DDR5,13400,16,SO-DIMM,DIMM x 2
Corsair CM5S16GM4800A40N2 16GB,DDR5,13150,16,SO-DIMM,x16
Corsair CM5S16GM4800A40K2 16GB,DDR5,12750,16,SO-DIMM,Dual Channel
Samsung M323R2GA3BB0-CQKOD 16GB,DDR5,12750,16,SO-DIMM,
Corsair CMTS16GM4800A40T2 16GB,DDR5,12450,16,SO-DIMM,Dual In-Line
Crucial Technology CT8G48C40U5.M4A1 8GB,DDR5,13000,8,SO-DIMM,x16
A-DATA Technology AD5U480016G-B 16GB,DDR5,17850,16,SO-DIMM,Dual Channel
Patriot Memory (PDP Systems) 4000 C16 Series 8GB,DDR4,21650,8,SO-DIMM,PC4-21650U
G Skill Intl F4-5333C22-8GTRG 8GB,DDR4,23300,8,SO-DIMM,2x4GB
Team Group Inc. TEAMGROUP-UD4-4300 8GB,DDR4,23150,8,SO-DIMM,Unbuffered
G Skill Intl F4-4600C19-8GTZSWC 8GB,DDR4,21700,8,SO-DIMM,Unbuffered
G Skill Intl F4-3600C14-16GTRS 16GB,DDR4,22000,16,Dual In-Line Memory Module (DIMM),"Unbuffered, Non-ECC"
G Skill Intl F4-4500C19-8GTZKKE 8GB,DDR4,22000,8,SO-DIMM,Dual Channel
G Skill Intl F4-4400C16-8GVK 8GB,DDR4,20800,8,SO-DIMM,Dual Channel
G Skill Intl F4-3600C14-16GTZR 16GB,DDR4,22900,16,SO-DIMM,Dual Channel
G Skill Intl F4-4000C15-8GVK 8GB,DDR4,20400,8,SO-DIMM,x16
G Skill Intl F4-4266C17-16GTZRB 16GB,DDR4,21200,16,DIMM,Dual Channel
G Skill Intl F4-4400C17-16GVK 16GB,DDR4,21150,16,Dual In-Line Memory Module (DIMM),"PC4-21300, CAS Latency 17, Burst Length 8"
G Skill Intl F4-4400C16-8GTRS 8GB,DDR4,20300,8,Dimm,
G Skill Intl F4-4400C17-8GVK 8GB,DDR4,20250,8,SO-DIMM,Dual Channel
G Skill Intl F4-4000C14-8GTZR 8GB,DDR4,22250,8,SO-DIMM,Dual Channel
Galaxy Microsystems Ltd. GALAX GOC 2016 8GB,DDR4,23100,8,DIMM,Single Channel
G Skill Intl F4-4266C17-16GVKB 16GB,DDR4,20400,16,SO-DIMM,Dual Channel
G Skill Intl F4-3600C14-8GVKA 8GB,DDR4,22050,8,DIMM,XMP
G Skill Intl F4-3600C14-16GVKA 16GB,DDR4,21700,16,DIMM,X16
G Skill Intl F4-3600C14-16GTRG 16GB,DDR4,19850,16,Dual Channel,XMP
Crucial Technology BLM8G44C19U4BL.M8FE1 8GB,DDR4,20800,8,SO-DIMM,Single-Channel
Corsair CMR16GX4M2K4266C19 8GB,DDR4,20500,8,DIMM,Dual Channel
G Skill Intl F4-4600C18-8GTRS 8GB,DDR4,20500,8,SO-DIMM,Dual Channel
G Skill Intl F4-4400C18-8GTRS 8GB,DDR4,20350,8,DIMM,Unbuffered
Thermaltake Technology Co Ltd CL-W262-CA00SW-A 8GB,DDR4,20250,8,SO-DIMM,Single Rank x16
G Skill Intl F4-4266C16-8GTZR 8GB,DDR4,22350,8,SO-DIMM,Dual Channel
Corsair CMK16GX4M2K4333C19 8GB,DDR4,19800,8,DIMM,Dual Channel
Corsair CMK16GX4M2G4000C16 8GB,DDR4,19650,8,DIMM,Unbuffered
G Skill Intl F4-3733C17-8GTZKK 8GB,DDR4,21250,8,SO-DIMM,Dual Channel
G Skill Intl F4-4000C15-8GTRG 8GB,DDR4,20500,8,DIMM,Dual Channel
G Skill Intl F4-4000C17-8GTZRB 8GB,DDR4,20200,8,DIMM,Unbuffered
G Skill Intl F4-4400C18-8GTZR 8GB,DDR4,19700,8,SO-DIMM,Unbuffered
G Skill Intl F4-4500C19-8GTZSWE 8GB,DDR4,22200,8,SO-DIMM,"Unbuffered, Single Sided"
G Skill Intl F4-4266C19-8GTRG 8GB,DDR4,19650,8,SO-DIMM,Dual Channel
G Skill Intl F4-3600C14-16GVK 16GB,DDR4,20450,16,DIMM,Dual Channel
G Skill Intl F4-4000C17-8GVKB 8GB,DDR4,19950,8,DIMM,Dual Channel
G Skill Intl F4-4000C15-8GTZR 8GB,DDR4,19600,8,SO-DIMM,Dual Channel
G Skill Intl F4-4800C19-8GTESC 8GB,DDR4,18500,8,SO-DIMM,Dual Channel
Corsair CMT32GX4M2Z3600C14 16GB,DDR4,22550,16,DIMM,Dual Channel
G Skill Intl F4-4000C16-8GTZRA 8GB,DDR4,20750,8,DIMM,Unbuffered Single Sided
G Skill Intl F4-4400C16-8GTZR 8GB,DDR4,20500,8,SO-DIMM,Dual Channel
Corsair CMK32GX4M4K4266C19 8GB,DDR4,20100,8,SO-DIMM,Single Module
Gold Key Technology Co Ltd NMUD416E82-4600C 16GB,DDR4,21000,16,UDIMM,Single Rank x8
G Skill Intl F4-4400C17-16GTZR 16GB,DDR4,20850,16,SO-DIMM,Dual Channel
G Skill Intl F4-3800C14-8GTZN 8GB,DDR4,19500,8,SO-DIMM,Dual Channel
G Skill Intl F4-4000C19-16GTRG 16GB,DDR4,19100,16,DIMM,Dual Channel
G Skill Intl F4-4400C19-32GVK 32GB,DDR4,19950,32,SO-DIMM,Dual Channel
G Skill Intl F4-4000C18-32GTZN 32GB,DDR4,19700,32,DIMM,Dual Channel
G Skill Intl F4-3200C14-16GTRG 16GB,DDR4,19600,16,Dual In-Line Memory Module (DIMM),
Thermaltake Technology Co Ltd R021D408GX2-3600C18D 8GB,DDR4,19200,8,SO-DIMM,Dual Channel
G Skill Intl F4-4000C15-8GTRS 8GB,DDR4,18900,8,SO-DIMM,Dual Channel
Essencore Limited KD4AGU880-36A180C 16GB,DDR4,21100,16,UDIMM,x16
G Skill Intl F4-3600C16-8GTZSW 8GB,DDR4,20650,8,SO-DIMM,Dual Channel
Hewlett-Packard 48U45AA# 16GB,DDR4,20600,16,UDIMM (Unbuffered Dual In-Line Memory Module),Single Rank
G Skill Intl F4-4400C19-8GTZSW 8GB,DDR4,20350,8,SO-DIMM,Dual Channel
Team Group Inc. TEAMGROUP-D4-3866 4GB,DDR4,20100,4,SO-DIMM,Unbuffered Single-Rank
Corsair CMW32GX4M4K3733C17 8GB,DDR4,19800,8,DIMM,Dual Channel
G Skill Intl F4-3200C15-16GTZKY 16GB,DDR4,19550,16,DIMM,Dual Channel
G Skill Intl F4-4400C19-32GTZR 32GB,DDR4,21050,32,DIMM,Dual Channel
G Skill Intl F4-4000C17-16GVKB 16GB,DDR4,20600,16,SO-DIMM,Dual Channel
Corsair CMD8GX4M2B4000C19 4GB,DDR4,19950,4,DIMM,Dual Channel
Patriot Memory (PDP Systems) 3866 C18 Series 8GB,DDR4,19650,8,UDIMM,2Rx8
Apacer Technology GD2.2229BH.001 16GB,DDR4,21950,16,SO-DIMM,x1
Thermaltake Technology Co Ltd RA24D408GX2-4400C19A 8GB,DDR4,19500,8,SO-DIMM,Dual Channel
G Skill Intl F4-4000C17-8GTZR 8GB,DDR4,19300,8,SO-DIMM,2x4GB
Apacer Technology 78.CAGR9.40C0B 8GB,DDR4,19150,8,SO-DIMM,Dual Channel
Crucial Technology BL16G36C16U4BL.M16FE 16GB,DDR4,19000,16,SO-DIMM,"Single Rank, x8"
Chun Well Technology Holding Limited D4U1636144B 16GB,DDR4,21000,16,SO-DIMM,Single Rank x8
Crucial Technology BL16G36C16U4RL.M8FB1 16GB,DDR4,19600,16,SO-DIMM,Dual In-Line
G Skill Intl F4-3600C16-16GTZR 16GB,DDR4,19200,16,SO-DIMM,Dual Channel
Essencore Limited KD4AGU880-36A180X 16GB,DDR4,18200,16,SO-DIMM,Dual Channel
Thermaltake Technology Co Ltd R022D408GX2-4600C19A 8GB,DDR4,19900,8,SO-DIMM,x1
G Skill Intl F4-3600C16-8GTESC 8GB,DDR4,19250,8,SO-DIMM,Dual Channel
G Skill Intl F4-4000C19-16GTZKK 16GB,DDR4,19000,16,DIMM,Dual Channel
Kingston KHX4133C19D4/8GX 8GB,DDR4,18950,8,DIMM,Dual Channel
G Skill Intl F4-4000C16-8GVK 8GB,DDR4,18800,8,DIMM,Dual Channel
Corsair CMK16GX4M2K4266C19 8GB,DDR4,19500,8,DIMM,x4
Shanghai Kuxin Microelectronics Ltd NMUD480E82-3600 8GB,DDR4,19250,8,SO-DIMM,
G Skill Intl F4-3200C14-8GTRG 8GB,DDR4,19250,8,DIMM,Dual Channel
G Skill Intl F4-3600C16-8GTRS 8GB,DDR4,19200,8,UDIM,Dual Channel
G Skill Intl F4-3733C17-16GTZKK 16GB,DDR4,19150,16,SO-DIMM,"Unbuffered, Dual Channel"
Thermaltake Technology Co Ltd R017D408GX2-4000C19A 8GB,DDR4,19150,8,DIMM,Unbuffered Single Rank
Crucial Technology BL32G36C16U4BL.M16FB 32GB,DDR4,18400,32,SO-DIMM,UDIMM
Team Group Inc. TEAMGROUP-UD4-4500 8GB,DDR4,18000,8,SO-DIMM,Unbuffered
G Skill Intl F4-4266C19-8GTZSW 8GB,DDR4,20050,8,SO-DIMM,Dual Channel
Corsair CMW16GX4M2K4000C19 8GB,DDR4,19100,8,Dual In-Line Memory Module (DIMM),XMP
Corsair CMD16GX4M2K4133C19 8GB,DDR4,18950,8,DIMM,Dual Channel
V-Color Technology Inc. TL8G36818C-E0P2AAS 8GB,DDR4,18900,8,SO-DIMM,Unbuffered
G Skill Intl F4-4000C18-8GTRS 8GB,DDR4,17750,8,SO-DIMM,Dual Channel
G Skill Intl F4-3600C16-8GTZN 8GB,DDR4,19600,8,DIMM,UDIMM
Crucial Technology BLM16G44C19U4B.M8FB1 16GB,DDR4,19100,16,SO-DIMM,PC4-1900
Corsair CMT32GX4M4C3466C16 8GB,DDR4,19050,8,DIMM,Single Rank
G Skill Intl F4-4000C19-16GTZR 16GB,DDR4,18300,16,SO-DIMM,Dual Channel
Corsair CMK16GX4M2F4400C19 8GB,DDR4,19750,8,DIMM,Dual Channel
G Skill Intl F4-4133C19-8GTZKKF 8GB,DDR4,19600,8,SO-DIMM,PC4-12864
Corsair CMWX8GD3600C18W4 8GB,DDR4,19100,8,DIMM,Unbuffered
G Skill Intl F4-4266C19-4GTZ 4GB,DDR4,19050,4,DIMM,Dual Channel
G Skill Intl F4-4000C16-16GTZR 16GB,DDR4,19050,16,SO-DIMM,Dual Channel
Corsair CMK16GX4M2B3733C17 8GB,DDR4,18850,8,DIMM,Dual Channel
G Skill Intl F4-3600C19-8GVSB 8GB,DDR4,18500,8,SO-DIMM,Dual Channel
Thermaltake Technology Co Ltd R009D408GX2-4600C19A 8GB,DDR4,18250,8,DIMM,Dual in-line memory module
A-DATA Technology DDR4 4133 2OZ 8GB,DDR4,18150,8,SO-DIMM,Dual In-Line Memory Module
Corsair CMT64GX4M2C3600C18 32GB,DDR4,18000,32,DIMM,Dual Channel
Crucial Technology BLE4G4D32AEEA.K8FE 4GB,DDR4,20300,4,SO-DIMM,"Unbuffered, Single-Rank"
Corsair CMK16GX4M2F4500C19 8GB,DDR4,19950,8,DIMM,UDIMM
G Skill Intl F4-3600C17-8GTZSW 8GB,DDR4,19650,8,SO-DIMM,Single Channel
Corsair CMD8GX4M2B3866C18 4GB,DDR4,19450,4,DIMM,x2
G Skill Intl F4-3600C16-16GTZN 16GB,DDR4,19450,16,SO-DIMM,Dual Channel
G Skill Intl F4-3600C17-4GTZ 4GB,DDR4,19350,4,SO-DIMM,Unbuffered
G Skill Intl F4-3600C16-32GVK 32GB,DDR4,19200,32,SO-DIMM,Dual Channel
G Skill Intl F4-3600C16-8GVK 8GB,DDR4,18800,8,UDIM,XMP
Corsair CMK64GX4M2Z4000C18 32GB,DDR4,18750,32,Dual In-Line (DIMM),Quad Channel
Patriot Memory (PDP Systems) 4400 C19 Series 8GB,DDR4,18650,8,SO-DIMM,x8
G Skill Intl F4-3600C16-8GTRG 8GB,DDR4,18550,8,SO-DIMM,Dual Channel
Team Group Inc. TEAMGROUP-UD4-4133 8GB,DDR4,18250,8,UDIMM,Single Rank
G Skill Intl F4-3600C17-16GTZSW 16GB,DDR4,17950,16,SO-DIMM,Dual Channel
G Skill Intl F4-4000C14-16GTZR 16GB,DDR4,20000,16,SO-DIMM,Dual Channel
G Skill Intl F4-3200C14-32GTZR 32GB,DDR4,19900,32,SO-DIMM,Dual Channel
G Skill Intl F4-3733C17-8GTZSW 8GB,DDR4,19500,8,SO-DIMM,Dual Channel
Corsair CMK16GX4M2C3333C16 8GB,DDR4,19450,8,DIMM,"1x8GB, Single Rank"
Zotac Technology Ltd OD48G32S816-ZHC 8GB,DDR4,19250,8,SO-DIMM,Dual In-Line
Corsair CMK32GX4M4B4000C19 8GB,DDR4,18750,8,Dual In-Line Memory Module (DIMM),"Unbuffered, Single-Ended"
Crucial Technology BLE8G4D36BEEAK.M8FE1 8GB,DDR4,18600,8,SO-DIMM,x2
G Skill Intl F4-4266C19-8GTRS 8GB,DDR4,18600,8,SO-DIMM,Dual Channel
Corsair CMK16GX4M2K4400C19 8GB,DDR4,18500,8,DIMM,"PC4-18500, single rank"
V-Color Technology Inc. TA48G36S818BNK 8GB,DDR4,18300,8,SO-DIMM,Single Rank x16
Team Group Inc. TEAMGROUP-UD4-3866 8GB,DDR4,17650,8,SO-DIMM,Unbuffered
Corsair CMK16GX4M2C3200C16 8GB,DDR4,19250,8,DIMM,Dual Channel
G Skill Intl F4-3600C16-8GTZKW 8GB,DDR4,19150,8,SO-DIMM,Single Channel
Crucial Technology BL16G32C16U4WL.M16FE 16GB,DDR4,19050,16,SO-DIMM,Dual Channel
Hyundai Inc AR36C18S8K2HU416R 8GB,DDR4,18750,8,SO-DIMM,Dual In-Line
G Skill Intl F4-3600C15-8GTZ 8GB,DDR4,18600,8,DIMM,Dual Channel
Thermaltake Technology Co Ltd R022R432GX2-3600C18A 32GB,DDR4,18550,32,UDIMM,Dual Channel
Corsair CMH16GX4M2Z3600C18 8GB,DDR4,19550,8,SO-DIMM,Dual Channel
G Skill Intl F4-4000C16-16GVK 16GB,DDR4,19200,16,Dual In-Line Memory Module (DIMM),2x8GB
G Skill Intl F4-4000C16-16GTZRA 16GB,DDR4,19150,16,SO-DIMM,Dual Channel
Corsair CMW32GX4M2C3333C16 16GB,DDR4,18900,16,UDIM,x8 (due to the 16GB capacity and DDR4 type)
Kingston KHX4800C19D4/8GX 8GB,DDR4,17800,8,SO-DIMM,x16
Gold Key Technology Co Ltd NMGD416E82-4400G 16GB,DDR4,17450,16,SO-DIMM,Dual Channel
Apacer Technology 78.CAGN4.4020B 8GB,DDR4,19500,8,SO-DIMM,Dual Channel
G Skill Intl F4-4800C18-8GTRS 8GB,DDR4,19300,8,SO-DIMM,Dual Channel
Corsair CMK16GX4M2D3600C16 8GB,DDR4,18850,8,DIMM,Dual Channel
G Skill Intl F4-3200C14-16GTRS 16GB,DDR4,18800,16,DIMM,Dual Channel
Gold Key Technology Co Ltd NMUD416E82-4400G 16GB,DDR4,18800,16,SO-DIMM,UDIMM
G Skill Intl F4-3600C14-8GTZNB 8GB,DDR4,18450,8,DIMM,Dual Channel
G Skill Intl F4-4600C18-8GTZR 8GB,DDR4,18300,8,DIMM,Dual Channel
Corsair CMWB8G1L3200K16W4 8GB,DDR4,18100,8,SO-DIMM,Single-Rank
Chun Well Technology Holding Limited MD4U0840180BCW 8GB,DDR4,17700,8,SO-DIMM,Unbuffered
Corsair CMW16GX4M2D3600C16 8GB,DDR4,19750,8,Dual In-Line Memory Module (DIMM),"Unbuffered, Non-ECC"
Apacer Technology 78.CAGNK.4040B 8GB,DDR4,19650,8,SO-DIMM,UDIMM
Corsair CMK16GX4M2Z3600C14 8GB,DDR4,19600,8,Dual In-Line Memory Module (DIMM),Unbuffered
Corsair CMT32GX4M4K3600C16 8GB,DDR4,19350,8,DIMM,Dual Inline Memory Module
Corsair CMK32GX4M2D3600C16 16GB,DDR4,19300,16,DIMM,Dual Channel
Crucial Technology BL32G36C16U4B.M16FB1 32GB,DDR4,19300,32,DIMM,SODIMM
G Skill Intl F4-4600C19-8GTZKKC 8GB,DDR4,19200,8,DIMM,Dual Channel
G Skill Intl F4-3333C16-8GTZ 8GB,DDR4,19200,8,DIMM,Dual Channel
Shanghai Kuxin Microelectronics Ltd NMUD416E82-3600 16GB,DDR4,18800,16,SO-DIMM,Dual In-Line
V-Color Technology Inc. TL8G36818C-I2PSAAS 8GB,DDR4,18800,8,SO-DIMM,Dual Channel
Corsair CMT64GX4M4C3466C16 16GB,DDR4,18700,16,UDIM,x16
G Skill Intl F4-3600C16-8GTZNC 8GB,DDR4,18450,8,Dual In-Line (DIMM),
G Skill Intl F4-4000C18-8GTRG 8GB,DDR4,18400,8,DIMM,Dual Channel
Kingston KHX4000C19D4/8GX 8GB,DDR4,18250,8,SO-DIMM,Dual Channel
G Skill Intl F4-4000C16-16GTRS 16GB,DDR4,17950,16,UDIM,Dual Channel
G Skill Intl F4-4133C19-8GTZSWF 8GB,DDR4,17850,8,SO-DIMM,Dual Channel
Mushkin MLA4C400JNNM16G 16GB,DDR4,17800,16,Dual In-Line Memory Module (DIMM),x16
Corsair CMW16GX4M2Z4000C18 8GB,DDR4,17800,8,SO-DIMM,XMP 2.0
G Skill Intl F4-4000C16-8GTZR 8GB,DDR4,17700,8,DIMM,Dual Channel
G Skill Intl F4-4400C19-32GTRS 32GB,DDR4,17450,32,SO-DIMM,Dual Channel
Corsair CMD32GX4M4B3466C16 8GB,DDR4,16400,8,DIMM,Single Rank
Crucial Technology CT16G4DFRA32A.M16FJ1 16GB,DDR4,19650,16,SODIMM,"PC4-19650, Single-Rank x8"
"PNY Technologies, Inc. 8GBF1X08RHJJ40-135-K 8GB",DDR4,19000,8,SO-DIMM,Single-Rank
G Skill Intl F4-3333C16-16GTZB 16GB,DDR4,18950,16,SO-DIMM,Dual Channel
G Skill Intl F4-3333C16-8GTZSK 8GB,DDR4,18550,8,SO-DIMM,Single Rank
Crucial Technology BLE8G4D30AEEA.K16FE 8GB,DDR4,18550,8,SO-DIMM,Dual In-Line Memory Module
Corsair CMW32GX4M4D3600C16 8GB,DDR4,18500,8,DIMM,"Unbuffered, Single-Rank"
Corsair CMW32GX4M4K4000C19 8GB,DDR4,18500,8,DIMM,X48
Patriot Memory (PDP Systems) 4000 C19 Series 8GB,DDR4,18400,8,UDIMM,Dual In-Line
G Skill Intl F4-4400C18-8GTRG 8GB,DDR4,18050,8,DIMM,Dual Inline Memory Module (DIMM)
G Skill Intl F4-3200C14-16GTZSK 16GB,DDR4,18050,16,SO-DIMM,Dual Channel
G Skill Intl F4-3600C14-8GTRSB 8GB,DDR4,17400,8,DIMM,Dual Channel
Thermaltake Technology Co Ltd RA24D408GX2-3600C18A 8GB,DDR4,17100,8,SO-DIMM,Dual Channel
Corsair CMW32GX4M2Z3600C14 16GB,DDR4,20000,16,DIMM,Dual Channel
A-DATA Technology DDR4 3300 2OZ 4GB,DDR4,19500,4,SO-DIMM,Unbuffered
G Skill Intl F4-3866C18-8GTZSW 8GB,DDR4,18950,8,SO-DIMM,"Unbuffered, Non-ECC"
Patriot Memory (PDP Systems) 4400 C18 Series 8GB,DDR4,18550,8,SO-DIMM,Dual Channel
Neo Forza NMUD480E82-3600 8GB,DDR4,18500,8,SO-DIMM,UDIMM
Crucial Technology BL16G36C16U4B.M16FE1 16GB,DDR4,18500,16,SO-DIMM,UDIMM
Crucial Technology BL8G36C16U4RL.M8FE1 8GB,DDR4,18350,8,SO-DIMM,Dual Channel
G Skill Intl F4-3600C16-16GTRSC 16GB,DDR4,18250,16,UDIM,Dual Channel
GIGA - BYTE Technology Co Ltd AR36C18S8K2HU416R 8GB,DDR4,18050,8,SO-DIMM,Unbuffered
G Skill Intl F4-4133C19-8GTZKWC 8GB,DDR4,18000,8,SO-DIMM,Dual Channel
G Skill Intl F4-3200C14-16GFX 16GB,DDR4,17700,16,SO-DIMM,Dual Channel
G Skill Intl F4-3866C18-16GTZR 16GB,DDR4,17250,16,SO-DIMM,Dual Channel
G Skill Intl F4-4000C18-8GTZSW 8GB,DDR4,17050,8,SO-DIMM,Dual Channel
Chun Well Technology Holding Limited ND4U0840180BRPDE 8GB,DDR4,19850,8,UDIM,PC4-1985
Essencore Limited KD4AGU880-32A160X 16GB,DDR4,19400,16,SO-DIMM,Dual In-Line
Corsair CMD32GX4M2C3200C14M 16GB,DDR4,19100,16,DIMM,Dual Channel
Crucial Technology BLE8G4D36BEEAK.M8FE3 8GB,DDR4,19100,8,SO-DIMM,PC4-15300
Corsair CMD32GX4M4B3866C18 8GB,DDR4,19000,8,DIMM,x4
Corsair CMT16GX4M2C3600C18 8GB,DDR4,18850,8,DIMM,x4
G Skill Intl F4-4000C18-16GTRS 16GB,DDR4,18850,16,SO-DIMM,Dual Channel
Patriot Memory (PDP Systems) 3600 C16 Series 8GB,DDR4,18750,8,SO-DIMM,x2
G Skill Intl F4-4000C17-16GTZRB 16GB,DDR4,18550,16,Dual In-Line Memory Module (DIMM),Unbuffered
Crucial Technology BL8G36C16U4BL.M8FE1 8GB,DDR4,18300,8,SO-DIMM,Single-Channel
G Skill Intl F4-4000C18-16GTRG 16GB,DDR4,18300,16,SO-DIMM,Dual Channel
G Skill Intl F4-3600C16-16GTZNC 16GB,DDR4,18150,16,UDIM,Dual Channel
G Skill Intl F4-3600C16-8GTZR 8GB,DDR4,18000,8,SO-DIMM,x16
Corsair CMT32GX4M4C3200C14 8GB,DDR4,17900,8,DIMM,x4
Crucial Technology CT16G4SFD832A.C16FJ 16GB,DDR4,17550,16,SO-DIMM,SDRAM
Kingston XCCT36-MIE 16GB,DDR4,17400,16,SO-DIMM,Single-Rank
Corsair CMT32GX4M2C3600C18 16GB,DDR4,17350,16,DIMM,Dual Channel
Kingston HP32D4U8D8HC-16XR 16GB,DDR4,17300,16,SO-DIMM,UDIMM
Crucial Technology BL16G32C16U4R.16FE 16GB,DDR4,19400,16,SO-DIMM,x32
Crucial Technology BLT8G4D30AETA.K16FD 8GB,DDR4,18800,8,SO-DIMM,PC4-1600
G Skill Intl F4-3600C16-8GTZ 8GB,DDR4,18750,8,DIMM,Dual Channel
Corsair CMK32GX4M2C3333C16 16GB,DDR4,18600,16,DIMM,Dual Channel
Crucial Technology BL8G36C16U4B.M8FE1 8GB,DDR4,18500,8,SO-DIMM,PC4-3700
G Skill Intl F4-4400C19-16GTZR 16GB,DDR4,18500,16,SO-DIMM,Dual Channel
G Skill Intl F4-3200C14-8GTZSK 8GB,DDR4,18450,8,SO-DIMM,Dual Channel
Crucial Technology BL16G36C16U4WL.M16FE 16GB,DDR4,18300,16,SO-DIMM,Dual Channel
Team Group Inc. TEAMGROUP-UD4-4000 4GB,DDR4,18250,4,DIMM,UDIMM
Mushkin MRX4U300GJJM16G 16GB,DDR4,18250,16,SO-DIMM,Dual Channel
G Skill Intl F4-4000C18-8GTZKW 8GB,DDR4,18050,8,Dual In-Line Memory Module (DIMM),XMP 2.0
Patriot Memory (PDP Systems) 4133 C19 Series 8GB,DDR4,17950,8,SO-DIMM,Dual Channel
Gold Key Technology Co Ltd NMUD416E86-3200D 16GB,DDR4,17750,16,SO-DIMM,2Rx8
Kingston KHX4266C19D4/8GX 8GB,DDR4,17700,8,SO-DIMM,PC4-2666
Crucial Technology BLM8G40C18U4BL.M8FE1 8GB,DDR4,17500,8,SO-DIMM,Unbuffered
G Skill Intl F4-3600C18-16GTRG 16GB,DDR4,17400,16,Dual In-Line Memory Module (DIMM),UDIMM
Kingston KHX3733C19D4/8GX 8GB,DDR4,17300,8,SO-DIMM,Unbuffered
Corsair CMT128GX4M8X3600C18 16GB,DDR4,16950,16,DIMM,X8
G Skill Intl F4-3600C14-16GTZN 16GB,DDR4,19700,16,SO-DIMM,Dual Channel
Crucial Technology BLS4G4D26BFSB.8FD2 4GB,DDR4,18900,4,DIMM,Unbuffered Single Rank
Corsair CMK8GX4M2B4266C19 4GB,DDR4,18800,4,DIMM,Dual Channel
G Skill Intl F4-3866C18-8GTZKW 8GB,DDR4,18800,8,SO-DIMM,Unbuffered
G Skill Intl F4-3200C14-16GTZSW 16GB,DDR4,18650,16,SO-DIMM,Dual Channel
Corsair CMK16GX4M4B3733C17 4GB,DDR4,18500,4,SO-DIMM,Unbuffered
Corsair CMR32GX4M4C3333C16 8GB,DDR4,18350,8,SO-DIMM,Dual In-Line
Patriot Memory (PDP Systems) 3733 C17 Series 8GB,DDR4,18350,8,DIMM,Dual Channel
G Skill Intl F4-5066C20-8GVK 8GB,DDR4,18250,8,SO-DIMM,PC4-18250U
