Name,Socket,Chipset,MaxRAMSpeed,MemoryType,SupportedStorageInterfaces,SupportedFormFactors,Formfactor
Asus Prime Z270-AR,LGA 1151,Intel Z270,DDR4 3200MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2, U.2","2.5"", mSATA, M.2, U.2",ATX
Asus P6X58D Premium,LGA 1366,Intel X58,DDR3-2400,DDR3,"SATA II & SATA III, PCI-E NVMe","2.5-inch and 3.5-inch hard drives, SSDs",ATX
Asrock H110M-HDS,LGA 1151,Intel H110,DDR4 2133 MHz,DDR4,"SATA III, M.2 (SATA and PCIe), USB","2.5"" HDD, M.2 SSD, mSATA SSD",Micro-ATX
MSI B450M Pro-M2,AM4,AMD B450,3200MHz,DDR4,"SATA III, PCIe NVMe, M.2","M.2, U.2",Micro-ATX
Asus Prime H270-Plus,LGA 1151,Intel H270,DDR4 2400,DDR4,"SATA III, PCIe x4, M.2 (NVMe)","2.5"", 3.5""",ATX
Gigabyte Z390 Aorus Pro Wifi,LGA 1151,Intel Z390,DDR4 4600 MHz (OC),DDR4,"M.2 NVMe, SATA6Gb/s, PCIe 3.0 x4, U.2","M.2, U.2, mSATA, SATA",ATX
Gigabyte GA-970A-DS3P Rev. 2.0,AM3+,AMD 970,DDR3 2600,DDR3,"SATA III, PCIe x4","2.5-inch HDD, M.2 SSD",ATX
MSI B350 PC Mate,AM4,AMD B350,3200 MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5-inch HDD, M.2 SSD, U.2 SSD",ATX
Gigabyte B550I Aorus Pro AX,AM4,AMD B550,DDR4 4733MHz (OC),DDR4,"SATA III, M.2 NVMe, UFS","M.2, U.2",Mini-ITX
Asus Prime B250-Plus,LGA 1151,Intel B250,DDR4 2400MHz,DDR4 SDRAM,"SATA III, M.2 (SATA and PCIe)","2.5"" drive bays x 3, M.2 slot x 2",ATX
Gigabyte GA-AB350-Gaming 3,AM4,AMD B350,DDR4 3200 MHz,DDR4,"SATA III, M.2 (NVMe), PCIe x4","HDD, SSD",ATX
Asus M5A99FX PRO R2.0,AM3+,AMD 990FX,DDR3 2400 MHz (OC),DDR3,"SATA III, PCIe NVMe","2.5"", 3.5""",ATX
Asus Sabertooth Z170 Mark 1,LGA 1151,Intel Z170,DDR4-3400,DDR4,"SATA III, PCIe NVMe, M.2","2.5"", mSATA, U.2",ATX
Maxsun MS-B350FX Gaming Pro,AM4,AMD B350,DDR4 3200MHz (or compatible),DDR4,"SATA III, PCIe NVMe","2.5"" HDD, M.2 SSD",ATX
Asrock B250M-HDV,LGA 1151,Intel B250,DDR4 2400MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","M.2 (SATA and PCIe), U.2",Micro-ATX
Gigabyte B550 Aorus Master,AM4,AMD B550,"DDR4 4733 MHz, DDR5 5200 MHz (dependent on CPU)",DDR4/DDR5,"SATA III, PCIe NVMe, M.2 NVMe, UFS","mSATA, M.2, U.2",ATX
Asus Prime B350M-K,AM4,AMD B350,3200 MHz,DDR4,"SATA III, PCIe NVMe","M.2, U.2, SATA",Micro-ATX
Asus ROG Maximus V Formula,LGA 1155,Intel Z77,DDR3-3200,DDR3,"SATA III, PCIe, USB","2.5"", 3.5""",E-ATX
Asrock B450 Pro4,AM4,AMD B450,3200MHz (based on the ASRock website),DDR4,"SATA III, PCIe NVMe","2.5-inch, M.2",ATX
Asus ROG Crosshair IV Formula,AM3,AMD 890FX,DDR3-1866,DDR3,"SATA II, SATA III, PCIe x2","HDD, SSD, Floppy",ATX
ECS H110M4-C43,LGA 1151,Intel H110,2400MHz (assuming it supports DDR4 RAM),DDR4,"SATA III, M.2","Micro-ATX, ATX",Micro-ATX
Asus Z170-AR,LGA 1151,Intel Z170,DDR4-3400 (OC),DDR4 SDRAM,"SATA III, PCIe NVMe, M.2","2.5-inch HDD, M.2 SSD, U.2",ATX
MSI B450 Gaming Pro Carbon AC,AM4,AMD B450,3200 MHz,DDR4,"SATA III, PCIe x4, M.2 (key A and B), UEFI",SSD,ATX
Gigabyte GA-X58A-UD3R Rev. 2.0,LGA 1366,Intel X58,DDR3 2400 MHz,DDR3,"SATA II, SATA III, PCIe x4",2.5-inch drive bays (no specific details provided),ATX
MSI H110M PRO-VD,LGA 1151,Intel H110,DDR4-2400,DDR4,"SATA III, M.2","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus Prime B360M-K,LGA 1151,Intel B360,DDR4 2400MHz,DDR4,"M.2 NVMe SSD, SATA III, UFS","M.2, mSATA, PCIe, SATA",Micro-ATX
Gigabyte GA-Gaming B8,LGA 1151,Intel B250,DDR4 2400 MHz,DDR4,"SATA III, PCIe NVMe","2.5"" HDD, M.2 SSD, U.2 SSD",ATX
Asus Z170-P D3,LGA 1151,Intel Z170,2400MHz,DDR4,"SATA III, PCIe NVMe, M.2 NVMe, M.2 SATA, U.2","M.2 (Key E), M.2 (Key M)",ATX
Asus ROG Maximus II Formula,LGA 775,Intel P45,DDR3-2400,DDR3,"SATA II, eSATA","2.5"", 3.5""",ATX
Gigabyte GA-Z270-HD3,LGA 1151,Intel Z270,DDR4 2400/2133 (OC),DDR4,"SATA III, M.2 NVMe, PCIe x4","M.2 SATA, M.2 NVMe",ATX
Asus Z170I Pro Gaming,LGA 1151,Intel Z170,DDR4 2400MHz (OC to DDR4 3200MHz),DDR4,"SATA III, M.2, PCIe NVMe","2.5"", M.2",Mini-ITX
Asus Z170-E,LGA 1151,Intel Z170,DDR4-3400,DDR4,"SATA III, M.2 NVMe, PCIe NVMe","AHCI, UEFI",ATX
Biostar TB250-BTC Pro,LGA 1151,Intel B250,DDR4-2400MHz,DDR4,"SATA III, PCIe NVMe",,ATX
Asus ROG Maximus VI Extreme,LGA 1150,Intel Z87,DDR3-3000,DDR3,"SATA III, PCIe NVMe","2.5-inch hard drive, SSD, mSATA",ATX
MSI MPG X570 Gaming Plus,AM4,AMD X570,3200MHz,DDR4,"M.2 NVMe, SATA III, PCIe NVMe","M.2, U.2, SATA",ATX
Gigabyte Z390 Aorus Ultra,LGA 1151,Intel Z390,DDR4 4400MHz,DDR4,"SATA III, PCIe NVMe, M.2, U.2","M.2, U.2, SATA",ATX
Asus ROG Maximus VII Ranger,LGA 1150,Intel Z97,DDR3-2933,DDR3,"SATA III, PCIe, M.2","2.5"", 3.5""",ATX
MSI H110M PRO-D,LGA 1151,Intel H110,DDR4 2400 MHz (or higher),DDR4 SDRAM,"SATA III, PCIe x2","HDD, SSD",Micro-ATX
Gigabyte GA-B250M-HD3,LGA 1151,Intel B250,DDR4 2400,DDR4,"SATA6Gb/s, M.2, PCIe NVMe","2.5-inch SSD, M.2 SSD",Micro-ATX
Asus ROG Strix X570-F Gaming,AM4,AMD X570,3200MHz,DDR4,"SATA III, M.2 NVMe, PCIe 3.0 x4","2.5"", 3.5""",ATX
Asus ROG Strix Z270E Gaming,LGA 1151,Intel Z270,DDR4-3200,DDR4,"SATA III, PCIe NVMe","2.5"", M.2",ATX
Asrock H110 Pro BTC+,LGA 1151,Intel H110,DDR4 2400 MHz,DDR4,"SATA III, PCIe NVMe, M.2","2.5"" SSD, M.2 SSD, USB Flash Drive",ATX
Asrock Fatal1ty B250 Gaming K4,LGA 1151,Intel B250,DDR4 2400MHz,DDR4,"SATA III, PCIe x2 NVMe","AHCI, M.2",ATX
Asus ROG Strix B250H Gaming,LGA 1151,Intel B250,DDR4-2400,DDR4,"SATA, M.2 NVMe, PCIe x4, USB",,ATX
Gigabyte GA-H170-Gaming 3 Rev. 1.1,LGA 1151,Intel H170,DDR4 2400MHz,DDR4,"SATA III, M.2 (NVMe/SATA), PCIe x16 Gen3","2.5"", mSATA, M.2",ATX
Gigabyte GA-B150M-DS3H,LGA 1151,Intel B150,DDR4 2133/1866/1600,DDR4,"SATA III, M.2 (SATA/SPI/PCH), USB-C, HDMI, DisplayPort",,Micro-ATX
Gigabyte H310M S2,LGA 1151,Intel H310,DDR4 2400MHz,DDR4,"SATA III, M.2 NVMe","M.2 (Key A and Key B), U.2",Micro-ATX
Gigabyte GA-Z170XP-SLI,LGA 1151,Intel Z170,DDR4-3200,DDR4,"SATA III, PCIe NVMe, M.2","SATA II, SATA III, M.2, mSATA",ATX
Asus Z170 Pro Gaming/Aura,LGA 1151,Intel Z170,DDR4-3200,DDR4,"SATA III, PCIe NVMe, M.2","2.5"", mSATA, M.2",ATX
Asrock AB350M Pro4,AM4,AMD B350,3200MHz,DDR4,"SATA III, PCIe NVMe","2.5-inch SSD, M.2 NVMe",Micro-ATX
Asus H170M-Plus,LGA 1151,Intel H170,DDR4 2133MHz,DDR4,"SATA III, M.2 (NVMe/SATA), PCIe x4",M.2 (SATA/PCIe),Micro-ATX
Gigabyte X570I Aorus Pro Wifi,AM4,AMD X570,4600MHz (Dual Channel),DDR4,"M.2 NVMe SSD, SATA III, UFS","mSATA, SATA III, PCIe x4, PCIe x2",Mini-ITX
MSI Z370 PC Pro,LGA 1151,Intel Z370,DDR4-2666,DDR4,"SATA III, PCIe NVMe, M.2, U.2","mSATA, M.2 (Key E & M), U.2",ATX
MSI B350 Tomahawk,AM4,AMD B350,3200 MHz,DDR4,"SATA III, M.2 NVMe, USB-C","2.5"", 3.5""",ATX
MSI B350M Pro-VDH,AM4,AMD B350,3200MHz (or PC4-25600),DDR4,"SATA III, M.2 NVMe, M.2 SATA","M.2, U.2",Micro-ATX
Gigabyte GA-H270-Gaming 3,LGA 1151,Intel H270,DDR4-2666,DDR4,"SATA III, M.2, PCIe NVMe","2.5-inch HDD, M.2 SSD, mSATA SSD",ATX
Asus X99-Deluxe II,LGA 2011-3,Intel X99,"DDR4 2400MHz (OC), DDR4 2133MHz (BIOS)",DDR4,"SATA III, PCIe NVMe, M.2, UEFI","AHCI, RAID",ATX
Asus Prime B250M-Plus,LGA 1151,Intel B250,DDR4 2400 MHz,DDR4,"SATA III, M.2 NVMe, M.2 SATA","2.5-inch HDD, M.2 SSD, mSATA SSD",Micro-ATX
MSI B250M Mortar,LGA 1151,Intel B250,2400MHz,DDR4,"SATA III, M.2 NVMe","M.2 SSD, U.2",Micro-ATX
Biostar H110MHV3,LGA 1151,Intel H110,DDR4-2400MHz,DDR4,"SATA III, M.2 (SATA and PCIe)",,Micro-ATX
Asrock B450M-HDV,AM4,AMD B450,3200 MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus B150M-Plus,LGA 1151,Intel B150,DDR4 2400,DDR4,"SATA III, PCIe x2","2.5"" and 3.5""",Micro-ATX
MSI B150M Night Elf,LGA 1151,Intel B150,DDR4-2400 (assuming this is the maximum supported RAM speed),DDR4 (since it's a modern motherboard with a DDR4 socket),"SATA III, M.2 (assuming this is what the motherboard supports)","2.5-inch HDD, M.2 SSD",Micro-ATX
Asrock Z270 Pro4,LGA 1151,Intel Z270,DDR4 3866 MHz (OC),DDR4,"SATA III, M.2 NVMe, PCIe x4","M.2, U.2, SATA",ATX
Gigabyte GA-H110M-S2PH,LGA 1151,Intel H110,2400MHz,DDR4,"SATA III, M.2 NVMe, M.2 SATA","2.5-inch HDD, M.2 SSD, mSATA SSD",Micro-ATX
Gigabyte GA-Z270-Gaming K3,LGA 1151,Intel Z270,DDR4 3200MHz,DDR4,"SATA III, PCIe x4, M.2 (Key A), M.2 (Key M)","AHCI, RAID, NVMe",ATX
